20230210	15:52:29	98d627c3-31e4-433c-ab0a-66f655d11f04	/new-page.html	GET
20230210	15:52:29	db8dd156-af81-432d-a4c3-ebf125e78a9c	/css/style.css	GET
20230210	15:52:29	871cda23-31e0-46e4-beaa-939df5c9a622	/img/img1.jpg	GET
20230210	15:52:30	da47babd-442e-4a2e-bb70-a0ae1d7205f2	/favicon.ico	GET
20230210	17:03:42	14d854f5-b6a8-47fe-80ab-b0ae94146208	GET	undefined	/
20230210	17:03:42	87567105-aef4-4b71-9749-479b8d548e5f	GET	undefined	/css/style.css
20230210	17:04:38	f40c465f-9abf-46ac-b281-a34036e79735	GET	undefined	/
20230210	17:04:38	fcaa44bb-35a4-44c9-8c3c-e97388dd68e0	GET	undefined	/css/style.css
20230210	17:05:12	0f9ed71a-a95e-428c-b3c3-312382e9143e	GET	undefined	/
20230210	17:05:12	25ce84c4-384e-44a3-b865-dd65494c7ec4	GET	undefined	/css/style.css
20230213	10:48:49	b0333a09-7a3c-4bce-8d39-6abc77ff55a2	GET	undefined	/css/style.css
20230228	17:48:20	8663f3fd-c10a-4795-96b2-30fa583894f8	GET	undefined	/
20230228	17:48:20	cfa02612-d5ac-4148-a198-94cd2c13e8ff	GET	undefined	/css/style.css
20230228	17:48:21	35e32f2a-800e-4a4e-8631-d53d0788471a	GET	undefined	/favicon.ico
20230228	17:48:40	835b7cf7-641c-4753-b3a9-945f9bd43dba	GET	undefined	/
20230228	17:59:55	27a2327d-53af-48c8-8fa1-381ee0f68955	GET	undefined	/fahd
20230228	17:59:55	7bdef6ce-6526-4115-bd59-e8d4b394ad96	GET	undefined	/css/style.css
20230228	18:30:54	242d9f87-0959-40ab-9e05-b2d9118da82c	GET	undefined	/
20230228	18:30:54	ecc7a3e6-cfe7-4b89-92d1-8848a4cbbd93	GET	undefined	/css/style.css
20230228	18:31:01	f6359cb8-1969-42b4-9e9e-940dc676be06	GET	undefined	/new-page
20230228	18:31:01	f720f6ff-558f-4ed7-8b21-06cd0a099bd5	GET	undefined	/css/style.css
20230228	18:31:01	c825aa1e-a7aa-4f05-80ff-fa9e2c0e9263	GET	undefined	/img/img1.jpg
20230228	18:31:05	8cd3ecae-d391-4798-9747-fd75128a293d	GET	undefined	/old-page
20230228	18:31:05	aa0616d6-47a5-4450-aa5f-f2338dd2a396	GET	undefined	/new-page.html
20230228	18:31:05	654a2cf5-b369-4723-acbd-ec672be24d2d	GET	undefined	/css/style.css
20230228	18:31:05	58f18bc2-6a88-4f08-88df-730eea41eb9a	GET	undefined	/img/img1.jpg
20230228	18:31:10	0a6b5e11-3318-44ec-942b-bc29eaff531f	GET	undefined	/subdir
20230228	18:31:10	702eab47-404b-4ed5-a1c0-1891de87fae9	GET	undefined	/subdir/
20230228	18:31:13	b5a66995-4110-45e0-bc59-9a30b7042f0a	GET	undefined	/subdir/test
20230228	18:31:18	02b4e637-65c8-4194-8cf3-2aac6ede9efc	GET	undefined	/subdir/fahd
20230228	18:31:18	e82e1165-f5d3-4777-a463-40fe3cd7ea90	GET	undefined	/subdir/css/style.css
20230228	18:31:23	702d811a-5dc5-4560-9e21-9fe07000c671	GET	undefined	/fahd
20230228	18:31:23	5e8af215-291b-45c4-b499-3d19d9e12dc9	GET	undefined	/css/style.css
20230228	18:47:58	105993f7-2d81-4287-aa75-6e1597eb8da5	GET	undefined	/employees
20230228	18:50:05	bf25c161-9dea-46e0-b5d5-13495a55fa59	POST	undefined	/employees
20230228	18:51:12	38a2331d-5747-432b-b073-dc4f68ae6a7c	PUT	undefined	/employees
20230228	18:51:50	7ad79795-ca0d-434f-b6c5-9a4446708973	DELETE	undefined	/employees
20230228	18:52:35	72e1742f-2fa5-4b3b-b200-dd708edeee82	GET	undefined	/employees/1
20230228	18:52:49	47079985-04c7-4835-82b9-fbd6573401e6	GET	undefined	/employees/1
20230302	16:12:31	752711cf-b521-4b5f-a84d-8958c21d0a2f	GET	undefined	/employees
20230302	16:13:47	01a775b9-cf3f-4899-ac25-a221c46cf5ad	POST	undefined	/employees
20230302	16:31:11	103bd340-e004-461f-98a3-6c4107238161	PUT	undefined	/employees
20230302	16:32:01	662ea857-8ded-46ac-9ffc-23e7db64a960	DELETE	undefined	/employees
20230302	16:32:10	37672f31-ba1d-4dba-b662-8b132d34944b	GET	undefined	/employees/1
20230302	16:58:38	d2327dc8-9239-4bab-8cc9-3fa58007c0db	POST	undefined	/register
20230302	16:58:51	e191c66b-06e7-4940-897b-37a9f82bc469	POST	undefined	/register
20230302	16:59:57	8f172bf6-5c27-43fe-90d9-53bfa16437bd	POST	undefined	/register
20230302	17:01:33	c329a91b-d5c4-407f-bf83-d80c04d6f17c	POST	undefined	/register
20230302	17:02:47	e1e87e30-bf02-4a65-9ac6-d43b9d1dc497	POST	undefined	/register
20230302	17:10:12	d418b37a-233f-4aa8-ba22-6be97e426b5a	POST	undefined	/register
20230302	17:21:50	a12c43a5-5605-4f6b-adf5-a6d10b3f7acb	POST	undefined	/auth
20230302	17:21:56	7d46d820-bd90-4262-a8ce-db5267cc137e	POST	undefined	/auth
20230302	17:59:17	a8842537-f243-4695-96d9-4dd418d314a0	POST	undefined	/auth
20230302	18:04:53	cb88e85d-08c6-4ddc-a34c-3b9c8f7d35c9	POST	undefined	/auth
20230302	18:06:03	94bcfc9b-d925-4046-abc2-0d10b8840b83	POST	undefined	/auth
20230302	18:13:09	c260575b-18d2-4e3b-99c6-ae7260037636	POST	undefined	/auth
20230302	18:14:47	7553a2d4-5b86-4dc7-85d4-215c70ccbb25	POST	undefined	/auth
20230302	18:15:32	b918bd13-91a5-4af1-9cd0-504f73f82214	GET	undefined	/employees
20230302	18:15:57	37dd8cc3-a5c8-4112-9af5-28af7ee6c5e6	POST	undefined	/auth
20230302	18:16:12	bf9714ba-08ea-4378-a9c1-7d2b67291597	GET	undefined	/employees
20230302	18:39:12	7ff51d3b-e6aa-40ef-b63f-3ced92806f1c	POST	undefined	/auth
20230302	18:42:59	255bc77e-87e0-45ee-b623-dfafbba56214	GET	undefined	/refresh
20230302	18:43:21	b1e1fa11-75c2-4e54-8e7c-9525e31d2243	POST	undefined	/auth
20230302	18:43:29	13901f02-d18f-4525-9fba-a71fc8e40d91	GET	undefined	/refresh
20230302	18:43:49	5155205f-1113-4581-bbdf-863ece664a49	GET	undefined	/refresh
20230302	18:45:56	7317ab78-94ac-42a0-8b29-e2b568fd5312	POST	undefined	/auth
20230302	18:46:11	d31e5f27-cd54-402f-b992-0f1a6572cfc1	GET	undefined	/refresh
20230302	18:46:28	d109deb0-b51f-4208-be43-8405c95e6c12	GET	undefined	/refresh
20230302	18:53:52	12a3c61f-c4fe-4f9a-864c-0005de4ae35a	POST	undefined	/auth
20230302	18:54:08	dee31114-6037-4d98-854c-f3d0a6b45576	GET	undefined	/refresh
20230302	18:55:00	1cd553e6-cb51-4526-b506-b90b52a0c105	GET	undefined	/refresh
20230302	18:55:38	aa6a1aeb-6610-445e-af01-bbc7bd7432f4	GET	undefined	/refresh
20230302	18:59:13	9e7bc8f8-6d65-49d3-8edc-4bcb4f4b414d	POST	undefined	/auth
20230302	18:59:24	63fb5248-f9c7-41d7-a24c-c9cdb188a9bb	GET	undefined	/refresh
20230302	18:59:25	8b5c9d80-a3f0-4f5d-bce4-4ef25e50e7bc	GET	undefined	/refresh
20230302	18:59:26	70a86b69-b768-457a-8a28-c4854a58c9d0	GET	undefined	/refresh
20230302	19:27:33	6b89425a-b6f4-4df8-b997-a7125ffdde9a	POST	undefined	/auth
20230302	19:27:43	d85eec26-a830-4047-b362-c5d821150c51	GET	undefined	/logout
